pin,province,municipal,prov_code,mun_code,barangay,brgy_code,section,parcel,vicinity,class_bir,value,land_arpn,tct_no,survey_no,updte_code,blk_no,td_no,lot_no,l_acctno,l_lastname,l_frstname,l_midname,l_ownadd,l_owndist,l_ownmuni,l_ownbrgy,l_ownprov,l_ownzip,l_owntel,north,south,east,west,extent,l_prvarp,l_prvpin,l_prvowner,effectvty,l_prvav,land_class,land_sbcls,land_area,land_uv,land_mval,land_desc,adj_rate,adj_val,land_ause,land_areat,land_totmv,land_aslvl,land_asval,land_totav,bldg_pin,mach_pin,bldg_arpn,cct,bldg_class,bldg_sbcls,bldg_age,bldg_areat,bldg_area,bldg_uv,bldg_mval,bldg_drate,bldg_dval,bldg_mval2,bldg_dmv,bldg_ause,bldg_aslvl,bldg_asval,b_prvarp,b_prvpin,b_prvowner,b_effectvt,mach_arpn,mach_desc,mach_units,mach_cost,mach_ause,mach_mval2,mach_level,mach_adjmv,mach_totav,m_prvarp,m_prvpin,m_prvowner,m_prvav,m_effectvt,tax_year,paymt_type,or_no,or_date,pay_period,qtr_no,basic_prin,basic_int,basic_disc,basictotal,sef_prin,sef_int,sef_disc,sef_total,street,perimeter,enclosed_a,b_prvav,mach_mval,b_acctno,b_lastname,b_frstname,b_midname,b_ownadd,b_owndist,b_ownmuni,b_ownbrgy,b_ownprov,b_ownzip,b_owntel,m_acctno,m_lastname,m_frstname,m_midname,m_ownadd,m_owndist,m_ownmuni,m_ownbrgy,m_ownprov,m_ownzip,m_owntel,id
023-06-0003-008-003,Laguna,Calauan,023,06,Balayhangin,0003,008,003,,,,04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1044
023-06-0003-008-004,Laguna,Calauan,023,06,Balayhangin,0003,008,004,ALONG BARANGAY ROAD,A50,350,04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1045
023-06-0003-008-005,Laguna,Calauan,023,06,Balayhangin,0003,008,005,INTERIOR LOTS,RR,"1,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1046
023-06-0003-008-006,Laguna,Calauan,023,06,Balayhangin,0003,008,006,,,,04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1047
023-06-0003-008-007,Laguna,Calauan,023,06,Balayhangin,0003,008,007,INTERIOR LOTS,RR,"1,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1048
023-06-0003-008-008,Laguna,Calauan,023,06,Balayhangin,0003,008,008,INTERIOR LOTS,RR,"1,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1049
023-06-0003-008-009,Laguna,Calauan,023,06,Balayhangin,0003,008,009,INTERIOR LOTS,RR,"1,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1050
023-06-0003-008-015,Laguna,Calauan,023,06,Balayhangin,0003,008,015,INTERIOR LOTS,A50,225,04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1051
023-06-0003-008-016,Laguna,Calauan,023,06,Balayhangin,0003,008,016,INTERIOR LOTS,RR,"1,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1052
023-06-0003-008-018,Laguna,Calauan,023,06,Balayhangin,0003,008,018,INTERIOR LOTS,RR,"1,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1053
023-06-0003-013-035,Laguna,Calauan,023,06,Balayhangin,0003,013,035,ALONG NATIONAL ROAD,RR,"2,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1054
023-06-0003-013-034,Laguna,Calauan,023,06,Balayhangin,0003,013,034,,,,04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1055
023-06-0003-013-030,Laguna,Calauan,023,06,Balayhangin,0003,013,030,ALONG NATIONAL ROAD,RR,"2,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1056
023-06-0003-013-029,Laguna,Calauan,023,06,Balayhangin,0003,013,029,ALONG NATIONAL ROAD,RR,"2,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1057
023-06-0003-013-028,Laguna,Calauan,023,06,Balayhangin,0003,013,028,ALONG NATIONAL ROAD,RR,"2,000.00",04-232345-665789,TCT001,SURVEY001,TR,BLK001,TD001,LT001,ACCT001,DELA CRUZ,JUAN,SANTOS,"MALIGAYA ST, KASIYAHAN VILLAGE",DIST01,CALAUAN,PRINZA,LAGUNA,4012,12345678,N,S,E,W,"14.5674578367, 121.45567322",22-22-333-55555,333-22-4444-333-333,"DOE, JOHN MAVERICK",JAN 01 2000,1234567,RESIDENTIAL,1,3575.08,10000.99,20000.99,PLACEHOLDER,PLACEHOLDER,17000,COMMERCIAL,1234.56,9876.54,21,230112.11,"1,450,864.25",023-06-0001-001-001-0000,023-06-0012-010-022-1002,23-12345-55555,PLACEHOLDER,III,A,7,123.45,12.34,876.99,8659.66,27.17%,2500.50,9865455.36,4533422.15,RESIDENTIAL,PLACEHOLDER,PLACEHOLDER,12-34-567-890987,024-05-0012-059-567,"ROAN, TYRON HAKKI","FEB 01, 2001",03-123456-123456,PLACEHOLDER,2,"17,000.00",INDUSTRIAL,265477.65,PLACEHOLDER,4500.80,3250448.45,12-566541-889043,023-06-0012-004-067-1002,"LABUSON, CIARA MAE",13256.44,"MAR 01, 1989",2015,F,6785783,"AUG 14, 2019",1,4,10445.63,45.77%,10779.68,15464.45,13447.25,24.66%,12668.77,10220.66,J.P. RIZAL,,,649836.33,10450.45,ACCT002,LEYBLE,RENZEL,MAE,MASIGASIG ST. KASIPAGAN VILLAGE,DIST02,CALAUAN,PALIPARAN,LAGUNA,4012,11223344,ACCT003,ANDAYA,NATALIA,LUMISAN,MALAYO ST. BARRIO KABILA,DIST003,CALAUAN,LAMOT2,LAGUNA,4012,44668800,1058
